run_id,seed,gamma,empirical_support_density,reconstruction_mse,rho_model,entropy,v_eff,dead_fraction,interference_energy,variance_energy,decoder_recovery_cosine,support_precision,support_recall,amplitude_shrinkage,susceptibility
vgsae_gamma=0.0_seed=0,0,0.0,0.0615234375,0.025487909093499184,0.6290481090545654,0.5399396419525146,0.18812449276447296,0.0,0.6551510095596313,0.0693446695804596,0.676937460899353,0.07246718541224553,0.9146825396825397,1.2111324071884155,0.41108036041259766
vgsae_gamma=0.25_seed=0,0,0.25,0.0615234375,0.03022334910929203,0.526278018951416,0.5886845588684082,0.206251859664917,0.0,0.3591424524784088,0.08318427205085754,0.7853551506996155,0.11292311909003701,0.8174603174603174,1.429287314414978,0.3831775188446045
vgsae_gamma=0.5_seed=0,0,0.5,0.0615234375,0.03091789036989212,0.4374593496322632,0.5844131708145142,0.20235607028007507,0.0,0.3631032407283783,0.1281038522720337,0.7810079455375671,0.17024754787482485,0.7232142857142857,0.8450055718421936,0.31490341822306317
vgsae_gamma=1.0_seed=0,0,1.0,0.0615234375,0.03366510197520256,0.3203788995742798,0.5229642391204834,0.17445454001426697,0.0,0.25652289390563965,0.12865565717220306,0.8002088069915771,0.25469684030742956,0.591765873015873,0.7121315598487854,0.21401762962341309
vgsae_gamma=1.5_seed=0,0,1.5,0.0615234375,0.031933870166540146,0.2234417200088501,0.4220775365829468,0.13221989572048187,0.0,0.1994067132472992,0.12029697000980377,0.8391879200935364,0.33865071452309736,0.5054563492063492,0.5569964051246643,0.16113117337226868
vgsae_gamma=2.0_seed=0,0,2.0,0.0615234375,0.030417993664741516,0.1592477262020111,0.32250338792800903,0.0945236012339592,0.0,0.19554834067821503,0.12610599398612976,0.8734638690948486,0.3902972027972028,0.4429563492063492,0.5181654095649719,0.10516183078289029
vgsae_gamma=3.0_seed=0,0,3.0,0.0615234375,0.03508460894227028,0.1005382090806961,0.22593918442726135,0.06098625808954239,0.0,0.11918535828590393,0.11918450146913528,0.8786967396736145,0.5086505190311419,0.3645833333333333,0.4257648289203644,0.04714611234764257
vgsae_gamma=5.0_seed=0,0,5.0,0.0615234375,0.0742989331483841,0.05249960348010063,0.1356312781572342,0.03305549547076225,0.0,0.06623608618974686,0.13977956771850586,0.7642753720283508,0.5363276089828269,0.2013888888888889,0.2626931965351105,0.02100621210411191
vgsae_gamma=7.0_seed=0,0,7.0,0.0615234375,0.18638840317726135,0.016513360664248466,0.0595867820084095,0.012381341308355331,0.0,0.018255680799484253,0.10232196003198624,0.653144359588623,0.74,0.05505952380952381,0.12243138253688812,0.012021875629822413
vgsae_gamma=10.0_seed=0,0,10.0,0.0615234375,0.24268050491809845,0.00731833977624774,0.0314408577978611,0.005946651101112366,0.0,0.007494482211768627,0.06859029829502106,0.5065537691116333,0.574468085106383,0.013392857142857142,0.03386934846639633,0.0030650069626669088
vgsae_gamma=0.0_seed=1,1,0.0,0.0615234375,0.023944223299622536,0.6069226264953613,0.5628119707107544,0.1964406669139862,0.0,0.700612485408783,0.08417541533708572,0.6960861086845398,0.07317876703866903,0.8814484126984127,2.922914981842041,0.36579132080078125
vgsae_gamma=0.25_seed=1,1,0.25,0.0615234375,0.027799468487501144,0.515474796295166,0.5967020988464355,0.2081872820854187,0.0,0.4946778416633606,0.1292315274477005,0.7618395090103149,0.12554712576597607,0.8536706349206349,2.8231284618377686,0.3438992500305176
vgsae_gamma=0.5_seed=1,1,0.5,0.0615234375,0.03000766411423683,0.43497300148010254,0.5806925892829895,0.20058231055736542,0.0,0.3915354013442993,0.13857944309711456,0.7622308731079102,0.166532025389498,0.7157738095238095,2.6263554096221924,0.29452522595723474
vgsae_gamma=1.0_seed=1,1,1.0,0.0615234375,0.02706749737262726,0.3151923418045044,0.5198756456375122,0.17285366356372833,0.0,0.26297086477279663,0.12963205575942993,0.835507869720459,0.2570621468926554,0.5868055555555556,2.9368433952331543,0.20742809772491455
vgsae_gamma=1.5_seed=1,1,1.5,0.0615234375,0.028515649959445,0.227544903755188,0.42563772201538086,0.13362962007522583,0.0,0.20526300370693207,0.13287687301635742,0.8292194604873657,0.31125198098256734,0.4871031746031746,1.3956986665725708,0.15211409330368042
vgsae_gamma=2.0_seed=1,1,2.0,0.0615234375,0.031412504613399506,0.16307824850082397,0.3346351385116577,0.0986364409327507,0.0,0.18800680339336395,0.13176509737968445,0.834822416305542,0.3717005625270446,0.4260912698412698,1.2006014585494995,0.10744643211364745
vgsae_gamma=3.0_seed=1,1,3.0,0.0615234375,0.035380199551582336,0.09860557317733765,0.22636759281158447,0.061049122363328934,0.0,0.1262659877538681,0.1266050487756729,0.8560000061988831,0.49672727272727274,0.33878968253968256,0.7602020502090454,0.05110958342750867
vgsae_gamma=5.0_seed=1,1,5.0,0.0615234375,0.073529914021492,0.049838773906230927,0.1324404627084732,0.032062578946352005,0.0,0.05442606657743454,0.14985622465610504,0.7310879230499268,0.5028735632183908,0.1736111111111111,0.5401425361633301,0.019457767717540264
