run_id,seed,gamma,step,loss,lr,reconstruction_mse,reconstruction_loss,variance_loss,prior_loss,entropy_loss,entropy,rho,v_eff,beta
vgsae_gamma=0.0_seed=0,0,0.0,0.0,-21.152387619018555,0.003,0.18582382798194885,1.4865906238555908,0.9929593205451965,0.0,-11.781471252441406,11.781471252441406,0.12267036736011505,0.10665920376777649,3.2263920307159424
vgsae_gamma=0.0_seed=0,0,0.0,50.0,-26.418380737304688,0.003,0.1246122196316719,0.9968977570533752,0.8319865465164185,0.0,-14.612497329711914,14.612497329711914,0.17848023772239685,0.14244118332862854,4.374251365661621
vgsae_gamma=0.0_seed=0,0,0.0,100.0,-34.8630485534668,0.003,0.08615792542695999,0.6892634034156799,0.544883131980896,0.0,-19.910552978515625,19.910552978515625,0.36868003010749817,0.21619150042533875,6.482212066650391
vgsae_gamma=0.0_seed=0,0,0.0,150.0,-39.548728942871094,0.003,0.04865817725658417,0.38926541805267334,0.3511669337749481,0.0,-20.509029388427734,20.509029388427734,0.5698410272598267,0.22617681324481964,10.804497718811035
vgsae_gamma=0.0_seed=0,0,0.0,200.0,-41.38786315917969,0.003,0.034950140863657,0.279601126909256,0.2847141623497009,0.0,-20.17519187927246,20.17519187927246,0.5824970602989197,0.2215632200241089,14.176472663879395
vgsae_gamma=0.0_seed=0,0,0.0,250.0,-42.56971740722656,0.003,0.02866334840655327,0.22930678725242615,0.23391735553741455,0.0,-19.777828216552734,19.777828216552734,0.5940972566604614,0.21625758707523346,17.2702579498291
vgsae_gamma=0.0_seed=0,0,0.0,300.0,-43.495208740234375,0.003,0.02435336634516716,0.19482693076133728,0.197479709982872,0.0,-19.373981475830078,19.373981475830078,0.6026936769485474,0.21109850704669952,20.3922119140625
vgsae_gamma=0.0_seed=0,0,0.0,350.0,-44.34310531616211,0.003,0.021218059584498405,0.16974447667598724,0.16421300172805786,0.0,-18.933639526367188,18.933639526367188,0.6096081733703613,0.20589077472686768,23.95514678955078
vgsae_gamma=0.0_seed=0,0,0.0,400.0,-45.18384552001953,0.003,0.019339630380272865,0.15471704304218292,0.13130541145801544,0.0,-18.534835815429688,18.534835815429688,0.614691436290741,0.20165735483169556,27.969829559326172
vgsae_gamma=0.0_seed=0,0,0.0,450.0,-45.98853302001953,0.003,0.01769052818417549,0.14152422547340393,0.10726846754550934,0.0,-18.22391700744629,18.22391700744629,0.6186331510543823,0.19858652353286743,32.15528869628906
vgsae_gamma=0.0_seed=0,0,0.0,500.0,-46.62356185913086,0.003,0.01640927791595459,0.13127422332763672,0.09287379682064056,0.0,-18.02444076538086,18.02444076538086,0.6208152770996094,0.19665277004241943,35.69070053100586
vgsae_gamma=0.0_seed=0,0,0.0,550.0,-47.11259460449219,0.003,0.01548562292009592,0.12388498336076736,0.08379697799682617,0.0,-17.903079986572266,17.903079986572266,0.6209536790847778,0.19549457728862762,38.52043914794922
vgsae_gamma=0.0_seed=0,0,0.0,600.0,-47.50895690917969,0.003,0.01463118102401495,0.1170494481921196,0.0778299868106842,0.0,-17.790433883666992,17.790433883666992,0.6237630844116211,0.1942695528268814,41.051021575927734
vgsae_gamma=0.0_seed=0,0,0.0,650.0,-47.84054946899414,0.003,0.013842240907251835,0.11073792725801468,0.07481145858764648,0.0,-17.729543685913086,17.729543685913086,0.6226375699043274,0.1936669647693634,43.11520767211914
vgsae_gamma=0.0_seed=0,0,0.0,700.0,-48.140785217285156,0.003,0.013078222051262856,0.10462577641010284,0.07269567251205444,0.0,-17.66692543029785,17.66692543029785,0.6230120658874512,0.19297702610492706,45.115806579589844
vgsae_gamma=0.0_seed=0,0,0.0,750.0,-48.377586364746094,0.003,0.012684037908911705,0.10147230327129364,0.0691784918308258,0.0,-17.596969604492188,17.596969604492188,0.6247199177742004,0.19214823842048645,46.879356384277344
vgsae_gamma=0.0_seed=0,0,0.0,799.0,-48.59426498413086,0.003,0.012253321707248688,0.0980265736579895,0.06693217158317566,0.0,-17.542253494262695,17.542253494262695,0.6253838539123535,0.19150547683238983,48.49697494506836
