run_id,seed,method,method_label,control_name,control_value,rho_model,generalization_error,reconstruction_error,clean_reconstruction_error,explained_variance,reconstruction_mse,selection_error,mask_uncertainty,paper_style_sigma_sel,support_precision,support_recall,support_f1,support_average_precision,support_roc_auc,decoder_recovery_cosine,dead_fraction,amplitude_shrinkage,mean_activation,average_l0,expected_l0,l1_raw_relu_rho_model,l1_raw_relu_selection_error,l1_raw_relu_sigma_sel,l1_gmm_threshold,l1_raw_relu_density
gated_l1_coefficient=0.1_seed=1,1,gated,Gated,l1_coefficient,0.1,0.046195997606698916,1.1300652886607492,0.45456406474113464,0.45456406474113464,0.766231119632721,0.08485914766788483,0.13082279945866826,0.04170071789001121,0.043835541355888415,0.6756756756756757,0.015299877600979192,0.029922202274087373,0.22175688737384733,0.6288104474825219,0.6553146839141846,0.0,1.1525322963368545,0.25898516178131104,0.072265625,1.4782719234143653,,,,,
gated_l1_coefficient=0.1_seed=4,4,gated,Gated,l1_coefficient,0.1,0.048083553322306904,1.183149264818645,0.5108122229576111,0.5108122229576111,0.7042535543441772,0.11265368014574051,0.13462366740817083,0.04354260801322334,0.045496095330603996,0.6052631578947368,0.013897280966767372,0.02717070289427053,0.19638052827140007,0.6136069808231248,0.621968150138855,0.0,1.2428793198769335,0.2740791440010071,0.07421875,1.538673706313821,,,,,
gated_l1_coefficient=0.1_seed=3,3,gated,Gated,l1_coefficient,0.1,0.04825471464625478,1.1166014909719302,0.37394335865974426,0.37394335865974426,0.8414972424507141,0.06094725430011749,0.13631690606185645,0.04410778877944082,0.04569305400377329,0.8,0.009495548961424332,0.0187683284457478,0.22546365428984178,0.5958838920591099,0.6327746510505676,0.0,2.2519475925485652,0.2678130269050598,0.0390625,1.544150868680153,,,,,
gated_l1_coefficient=0.1_seed=2,2,gated,Gated,l1_coefficient,0.1,0.05112931858299098,1.078398060573624,0.45339637994766235,0.45339637994766235,0.7798497080802917,0.08681313693523407,0.13363271821224776,0.04442893765245711,0.04820461787163984,0.5121951219512195,0.025625381330079317,0.04880883207437536,0.2262262036170859,0.6502800196383051,0.6647429466247559,0.0,3.2602541637594546,0.2546851634979248,0.16015625,1.6361381946557114,,,,,
gated_l1_coefficient=0.1_seed=0,0,gated,Gated,l1_coefficient,0.1,0.051640405015741006,1.0864133782065228,0.6383695602416992,0.6383695602416992,0.570178210735321,0.1589713990688324,0.12956202972994307,0.045023477459648444,0.04874333056112441,0.6410256410256411,0.031407035175879394,0.05988023952095808,0.25577478737349235,0.6554523394419365,0.7191867828369141,0.0,4.077156233065901,0.2390345185995102,0.15234375,1.6524929605037122,,,,,
gated_l1_coefficient=0.07_seed=1,1,gated,Gated,l1_coefficient,0.07,0.05649830109284534,1.1362402254596666,0.42804643511772156,0.42804643511772156,0.79271000623703,0.07524717599153519,0.13797994086484514,0.05048524079937106,0.05309187040335831,0.8125,0.02386780905752754,0.046373365041617126,0.2394065440449985,0.6226618882642159,0.645893931388855,0.0,1.2584769975091996,0.2751844525337219,0.09375,1.807945634971051,,,,,
gated_l1_coefficient=0.07_seed=3,3,gated,Gated,l1_coefficient,0.07,0.058438932179145565,1.052140957608571,0.38847649097442627,0.38847649097442627,0.8289375305175781,0.06577669084072113,0.14231216044570597,0.05121766513001977,0.0546925223856651,0.4722222222222222,0.020178041543026708,0.03870233352305066,0.22090778582468917,0.6210832485627013,0.6621100902557373,0.0,2.6234117954618763,0.2776745557785034,0.140625,1.870045829732658,,,,,
gated_l1_coefficient=0.07_seed=4,4,gated,Gated,l1_coefficient,0.07,0.058478082000090435,1.1823596467046589,0.398727685213089,0.398727685213089,0.8198021054267883,0.06863973289728165,0.14151225886530408,0.05226871586600272,0.054743501751164825,0.6808510638297872,0.01933534743202417,0.03760282021151586,0.22097626564040143,0.623323369500004,0.6296384334564209,0.0,1.2131524493818604,0.2875533699989319,0.091796875,1.871298624002894,,,,,
gated_l1_coefficient=0.07_seed=2,2,gated,Gated,l1_coefficient,0.07,0.062019946609092866,1.1939062149000412,0.46020251512527466,0.46020251512527466,0.7731905579566956,0.08943907916545868,0.14025546463105762,0.05320627280503585,0.057708986130770634,0.7156862745098039,0.044539353264185476,0.08385985066053993,0.23585638668826978,0.5977362570656624,0.6462621688842773,0.0,2.621400929925626,0.2704809010028839,0.19921875,1.9846382914909717,,,,,
gated_l1_coefficient=0.07_seed=0,0,gated,Gated,l1_coefficient,0.07,0.06281584305899923,1.0843806325112626,0.5635295510292053,0.5635295510292053,0.6650519371032715,0.12388195842504501,0.13852904401541022,0.054322279918871286,0.058457346900590394,0.6262626262626263,0.038944723618090454,0.07332939089296275,0.23795180561008258,0.6539474048514612,0.7122213244438171,0.0,3.507018760742978,0.2585412263870239,0.193359375,2.0101069778879754,,,,,
