run_id,seed,method,method_label,control_name,control_value,step,loss,lr,reconstruction_mse,reconstruction_loss,variance_loss,prior_loss,entropy_loss,entropy,rho,v_eff,beta,sparsity_loss
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,0.0,29.021331787109375,0.01,0.3328583836555481,2.6628670692443848,1.0923337936401367,46.681922912597656,-11.610190391540527,11.610190391540527,0.12156752496957779,0.10506756603717804,2.1303787231445312,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,25.0,4.777340888977051,0.01,0.45244100689888,3.61952805519104,0.2220468819141388,15.952861785888672,-5.3070478439331055,5.3070478439331055,0.041543908417224884,0.039172522723674774,2.082479476928711,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,50.0,-2.4061787128448486,0.01,0.6421129703521729,5.136903762817383,0.07629029452800751,1.9105559587478638,-0.8907437920570374,0.8907437920570374,0.004975405987352133,0.004848335403949022,1.534567952156067,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,75.0,-3.7254910469055176,0.01,0.5268833637237549,4.215066909790039,0.09433533996343613,2.184903621673584,-0.9612563848495483,0.9612563848495483,0.005689853336662054,0.005470259580761194,1.8564058542251587,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,100.0,-4.494651794433594,0.01,0.49701425433158875,3.97611403465271,0.066018246114254,1.7765120267868042,-0.8098106980323792,0.8098106980323792,0.004626333247870207,0.004448548890650272,1.9791533946990967,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,125.0,-4.985205173492432,0.01,0.4760887324810028,3.8087098598480225,0.05820658430457115,1.5463711023330688,-0.7157024145126343,0.7157024145126343,0.004027008078992367,0.0038379193283617496,2.0688319206237793,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,150.0,-5.368505477905273,0.01,0.4533173441886902,3.6265387535095215,0.06379187107086182,1.499353289604187,-0.6780548095703125,0.6780548095703125,0.003904566168785095,0.0036206042859703302,2.167827606201172,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,175.0,-5.654139518737793,0.01,0.4360378384590149,3.488302707672119,0.06922273337841034,1.4796457290649414,-0.6507745981216431,0.6507745981216431,0.0038532442413270473,0.0034805606119334698,2.2487542629241943,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,200.0,-5.927363395690918,0.01,0.41563764214515686,3.325101137161255,0.08126727491617203,1.5439289808273315,-0.6409344673156738,0.6409344673156738,0.004020648077130318,0.003466071095317602,2.3485422134399414,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,225.0,-6.178179740905762,0.01,0.3971163034439087,3.1769304275512695,0.0859585851430893,1.6124157905578613,-0.6159681081771851,0.6159681081771851,0.004198999144136906,0.0033439903054386377,2.451814651489258,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,250.0,-6.400817394256592,0.01,0.38298100233078003,3.0638480186462402,0.07678228616714478,1.6818552017211914,-0.6025294065475464,0.6025294065475464,0.004379831254482269,0.0032699797302484512,2.5472590923309326,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,275.0,-6.563316822052002,0.01,0.3740862309932709,2.992689847946167,0.08870700746774673,1.6475634574890137,-0.5784125328063965,0.5784125328063965,0.004290529992431402,0.0031445517670363188,2.5962250232696533,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,300.0,-6.700802803039551,0.01,0.36753618717193604,2.9402894973754883,0.09182152897119522,1.612125039100647,-0.5514683723449707,0.5514683723449707,0.004198242910206318,0.002995830262079835,2.638425588607788,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,325.0,-6.81941032409668,0.01,0.3597601354122162,2.8780810832977295,0.09394257515668869,1.6573238372802734,-0.5551464557647705,0.5551464557647705,0.0043159471824765205,0.0030349353328347206,2.6917688846588135,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,350.0,-6.940912246704102,0.01,0.35422730445861816,2.8338184356689453,0.09802616387605667,1.609624981880188,-0.5200585126876831,0.5200585126876831,0.004191732034087181,0.0028514668811112642,2.7286577224731445,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,375.0,-7.051755905151367,0.01,0.34836345911026,2.78690767288208,0.09229134023189545,1.6179733276367188,-0.4942942261695862,0.4942942261695862,0.0042134723626077175,0.002700480166822672,2.778550624847412,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,400.0,-7.145366191864014,0.01,0.3430514633655548,2.7444117069244385,0.0847587138414383,1.6572537422180176,-0.4869556725025177,0.4869556725025177,0.004315765108913183,0.002652845811098814,2.827683925628662,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,425.0,-7.22009801864624,0.01,0.3406863808631897,2.7254910469055176,0.0837441012263298,1.6159002780914307,-0.46376389265060425,0.46376389265060425,0.004208073485642672,0.0025131504517048597,2.847750186920166,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,450.0,-7.28481388092041,0.01,0.3377768397331238,2.7022147178649902,0.08416417241096497,1.6144154071807861,-0.4616393446922302,0.4616393446922302,0.004204207099974155,0.00250056991353631,2.871109962463379,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,475.0,-7.343526363372803,0.01,0.33569270372390747,2.6855416297912598,0.08229508996009827,1.5954855680465698,-0.44800886511802673,0.44800886511802673,0.004154910333454609,0.0024249835405498743,2.89034366607666,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,500.0,-7.395745754241943,0.01,0.33476293087005615,2.678103446960449,0.08081109076738358,1.541674256324768,-0.4205865263938904,0.4205865263938904,0.004014777019619942,0.0022718075197190046,2.899690866470337,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,525.0,-7.446407794952393,0.01,0.331794798374176,2.654358386993408,0.08088316768407822,1.5633368492126465,-0.42397022247314453,0.42397022247314453,0.004071189556270838,0.0022983578965067863,2.9247872829437256,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,550.0,-7.490592956542969,0.01,0.3316991925239563,2.6535935401916504,0.08072856068611145,1.4907827377319336,-0.3929111361503601,0.3929111361503601,0.003882246557623148,0.0021245123352855444,2.9257712364196777,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,575.0,-7.5321831703186035,0.01,0.3296741247177124,2.637392997741699,0.07859210669994354,1.5028102397918701,-0.39269891381263733,0.39269891381263733,0.003913568332791328,0.002128174062818289,2.945524215698242,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,600.0,-7.573072910308838,0.01,0.32637450098991394,2.6109960079193115,0.08096227049827576,1.5452566146850586,-0.404948890209198,0.404948890209198,0.004024106077849865,0.002204261487349868,2.9718141555786133,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,625.0,-7.6332855224609375,0.01,0.3220215439796448,2.576172351837158,0.08577314019203186,1.5763360261917114,-0.4065483808517456,0.4065483808517456,0.0041050417348742485,0.0022296432871371508,3.0053203105926514,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,650.0,-7.682795524597168,0.01,0.3178882598876953,2.5431060791015625,0.08599693328142166,1.6280232667922974,-0.4084280729293823,0.4084280729293823,0.004239643923938274,0.0022608181461691856,3.042862892150879,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,675.0,-7.726351737976074,0.01,0.3170021176338196,2.5360169410705566,0.08707580715417862,1.5803003311157227,-0.3859521150588989,0.3859521150588989,0.004115365445613861,0.0021429990883916616,3.049834966659546,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,700.0,-7.780004978179932,0.01,0.31106749176979065,2.488539934158325,0.089131660759449,1.6713165044784546,-0.3908814489841461,0.3908814489841461,0.0043523870408535,0.0021901712752878666,3.1035759449005127,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,725.0,-7.814984321594238,0.01,0.30929034948349,2.47432279586792,0.0865345299243927,1.6798667907714844,-0.38205599784851074,0.38205599784851074,0.00437465263530612,0.002142490353435278,3.1239535808563232,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,750.0,-7.846364974975586,0.01,0.3096393644809723,2.4771149158477783,0.08693389594554901,1.6135318279266357,-0.3570652902126312,0.3570652902126312,0.004201905801892281,0.002000599866732955,3.120065450668335,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,775.0,-7.877014636993408,0.01,0.30789321660995483,2.4631457328796387,0.08689551055431366,1.631894826889038,-0.3622535169124603,0.3622535169124603,0.004249725956469774,0.002031769137829542,3.137204170227051,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,800.0,-7.906160354614258,0.01,0.3062356412410736,2.449885129928589,0.0885578989982605,1.6431245803833008,-0.3661603629589081,0.3661603629589081,0.004278970416635275,0.002057410776615143,3.151538133621216,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,825.0,-7.937561988830566,0.01,0.30517083406448364,2.441366672515869,0.08875735104084015,1.6322921514511108,-0.3604695796966553,0.3604695796966553,0.004250760655850172,0.002027926268056035,3.161900043487549,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,850.0,-7.972904682159424,0.01,0.3039686679840088,2.4317493438720703,0.08870995044708252,1.61257004737854,-0.3454710841178894,0.3454710841178894,0.0041994014754891396,0.0019529260462149978,3.174024820327759,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,875.0,-8.009921073913574,0.01,0.3031066954135895,2.424853563308716,0.08528895676136017,1.5934078693389893,-0.33051174879074097,0.33051174879074097,0.004149499349296093,0.00186458311509341,3.187070369720459,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,900.0,-8.035072326660156,0.01,0.3008098006248474,2.4064784049987793,0.08491054177284241,1.6384479999542236,-0.34071019291877747,0.34071019291877747,0.004266791511327028,0.0019285496091470122,3.2110605239868164,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,925.0,-8.058006286621094,0.01,0.29932963848114014,2.394637107849121,0.08538356423377991,1.6557161808013916,-0.34432488679885864,0.34432488679885864,0.004311760887503624,0.0019506638636812568,3.2257795333862305,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,950.0,-8.080598831176758,0.01,0.29928404092788696,2.3942723274230957,0.0846637636423111,1.623586654663086,-0.3312894403934479,0.3312894403934479,0.004228090401738882,0.0018768664449453354,3.2271907329559326,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,975.0,-8.101025581359863,0.01,0.2987862229347229,2.390289783477783,0.08467143774032593,1.6074765920639038,-0.3227674961090088,0.3227674961090088,0.004186137113720179,0.0018297951901331544,3.2323737144470215,
vgsae_gamma=12.0_seed=0,0,vgsae,VG-SAE,gamma,12.0,999.0,-8.120307922363281,0.01,0.29874977469444275,2.389998197555542,0.08341200649738312,1.584378719329834,-0.3139365017414093,0.3139365017414093,0.004125986248254776,0.001780645688995719,3.234400987625122,
vgsae_gamma=10.0_seed=0,0,vgsae,VG-SAE,gamma,10.0,0.0,20.804983139038086,0.01,0.3427790105342865,2.742232084274292,1.061280608177185,38.2301139831543,-11.476999282836914,11.476999282836914,0.11946910619735718,0.10353613644838333,2.103318929672241,
vgsae_gamma=10.0_seed=0,0,vgsae,VG-SAE,gamma,10.0,25.0,1.0873908996582031,0.01,0.46871864795684814,3.749749183654785,0.18765094876289368,11.530214309692383,-4.771456718444824,4.771456718444824,0.03603191673755646,0.0342826321721077,2.031797409057617,
vgsae_gamma=10.0_seed=0,0,vgsae,VG-SAE,gamma,10.0,50.0,-3.388251781463623,0.01,0.5726506114006042,4.581204891204834,0.09705112129449844,2.0357091426849365,-1.1318318843841553,1.1318318843841553,0.006361590698361397,0.006249960511922836,1.7100389003753662,
